Recommended Package,Dream Outcome,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJTdr-,2025-11-05,Wmart,"Supermarket, Bakery, Grocery Or Supermarket",1,120000,"9, Jalan Dua, Off, Jalan Chan Sow Lin, Chan Sow Lin, 55200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",55200 Kuala Lumpur,Kuala Lumpur,55200.0,https://www.wmart.com.my/,,,60392222811.0,,60392222811.0,4.1,1048.0,Unknown,OPERATIONAL,ChIJTdr-kxw2zDERx9yKJtdCK7c,3.123373899999999,101.711504,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1048 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJlb2x,2025-11-05,Valenza Hotel & Cafe,Lodging,1,120000,"Lot 118 Batu, 3, Jln Klang Lama, Taman Halimahton, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",58100 Kuala Lumpur,Kuala Lumpur,58100.0,https://valenza.com.my/,,,60379726100.0,,60379726100.0,4.0,1155.0,Unknown,OPERATIONAL,ChIJlb2x94lJzDERxGjfKFyHaVg,3.1130918,101.6782207,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1155 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJmfP5,2025-11-05,Menara UOA Bangsar,Restaurant,1,120000,"5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59000 Kuala Lumpur,Kuala Lumpur,59000.0,,,,60123398386.0,,60123398386.0,4.1,1860.0,Unknown,OPERATIONAL,ChIJmfP5xJZJzDER7SrW6dAW2rQ,3.1277481,101.678206,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1860 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJ4zTe,2025-11-05,Glenmarie Hotel & Golf Resort,"Cafe, Lodging, Restaurant",2,160000,"1, Jalan Usahawan U1/8, Seksyen U1, 40150 Shah Alam, Selangor, Malaysia",40150 Shah Alam,Selangor,40150.0,https://www.glenmarie.com.my/,,,60378025200.0,,60378025200.0,4.2,2355.0,Unknown,OPERATIONAL,ChIJ4zTeIxs4zDEREdquy1F1yg8,3.094567000000001,101.577835,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (2355 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJc9w_,2025-11-05,Gravybaby Jalan P Ramlee,"Bakery, Bar, Store",1,150000,"9, Jalan P. Ramlee, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250.0,http://www.gravybaby.com/,,,60182395502.0,,60182395502.0,4.2,1408.0,$$ (Moderate),OPERATIONAL,ChIJc9w_vtU3zDERvWs-B7cKHzc,3.1548111,101.7081032,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1408 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJI3Tq,2025-11-05,Dragon-i Peking Duck Restaurant • Sunway Pyramid,Restaurant,2,160000,"GF.43, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",47500 Petaling Jaya,Selangor,47500.0,http://www.dragon-i.com.my/,,,60374923688.0,,60374923688.0,4.6,3147.0,Unknown,OPERATIONAL,ChIJI3TqdIdMzDERZ9OvUah8Mj0,3.0718912,101.6075292,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.6/5 (3147 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJlVRa,2025-11-05,Komugi @ Mid Valley Megamall,"Bakery, Store",1,150000,"LG078, Lower Ground, Mid Valley, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,http://www.komugi.com.my/,,,60322012846.0,,60322012846.0,4.9,1911.0,$$ (Moderate),OPERATIONAL,ChIJlVRaR4lJzDER-xxjW-lrdGI,3.117338,101.677683,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.9/5 (1911 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJwSte,2025-11-05,Paradise Dynasty @ Paradigm Mall,"Meal Delivery, Restaurant",2,160000,"Lot 1F-15, Paradigm Mall, 1, Jalan SS 7/26a, SS7, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://paradisefnb.com.my/,,,60378875022.0,,60378875022.0,4.7,2959.0,Unknown,OPERATIONAL,ChIJwStesxlMzDERye3YacUngEM,3.1054534,101.5959406,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.7/5 (2959 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJ-VbC,2025-11-05,Jojo Little Kitchen SS2,Restaurant,1,150000,"47, Jalan SS 2/64, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",47300 Petaling Jaya,Selangor,47300.0,https://www.facebook.com/pages/Jojo%20Little%20Kitchen%20SS2/128148930603408/,,,60378738779.0,,60378738779.0,4.0,1206.0,$$ (Moderate),OPERATIONAL,ChIJ-VbC3FNJzDERf_vlRMTQegE,3.1194333,101.6210085,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1206 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJoxHl,2025-11-05,DÔME (Subang Parade),Cafe,1,150000,"Jalan SS 16/1 Lot G17, Ground Level, Subang Parade Subang Jaya, Ss 16, 47500 Petaling Jaya, Selangor, Malaysia",47500 Petaling Jaya,Selangor,47500.0,http://www.domecafe.com.my/,,,60356321799.0,,60356321799.0,4.5,1004.0,$$ (Moderate),OPERATIONAL,ChIJoxHlE1tMzDERYZIOqG2pXYk,3.0819668,101.5858013,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1004 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJn0Up,2025-11-05,Hometown Hainan Coffee TAMAN SEA,Cafe,1,150000,"Ground Floor, 29, Jalan SS 23/15, Taman Sea, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,https://hometowncoffee.com.my/,,,60162289174.0,,60162289174.0,4.3,1184.0,$$ (Moderate),OPERATIONAL,ChIJn0UpHatOzDER-PqmT6bI5PM,3.1167025,101.6131872,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (1184 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJ_9Qw,2025-11-05,"Delectable by Su HQ - Designer Cakes, Parties, Desserts and Gifts online","Bakery, Store, Restaurant",1,120000,"Level 2, Glasshouse at Seputeh, 17, Lorong Syed Putra Kiri, Taman Seputeh, 50460 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50460 Kuala Lumpur,Kuala Lumpur,50460.0,http://www.delectable.com.my/,,,60125081855.0,,60125081855.0,4.8,1141.0,Unknown,OPERATIONAL,ChIJ_9QwLexJzDER2mzxm2IBq2Y,3.1246191,101.6891062,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.8/5 (1141 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJ_3mu,2025-11-05,Rekindle,Cafe,1,150000,"Ground Floor, 25, Jalan SS 2/64, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",47300 Petaling Jaya,Selangor,47300.0,http://fb.com/rekindless2,,,60374966309.0,,60374966309.0,4.4,1304.0,$$ (Moderate),OPERATIONAL,ChIJ_3mu6VNJzDERwXqoJ5GPpsk,3.1188373,101.6204784,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (1304 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJvRQ_,2025-11-05,Antipodean,"Cafe, Restaurant",2,160000,"G37 & GK1, Ground Floor, Atria Shopping Gallery, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,https://antipodeancoffee.com/,,,60377328594.0,,60377328594.0,4.7,2953.0,Unknown,OPERATIONAL,ChIJvRQ_pExJzDERBqLjRYXLuxA,3.1271326,101.6164682,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.7/5 (2953 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJ301d,2025-11-05,PENANG Logan Road Dailyfish Seafood Restaurant,Restaurant,1,150000,"34, Jalan Logan, George Town, 10400 George Town, Pulau Pinang, Malaysia",10400 George Town,,10400.0,https://www.facebook.com/dailyfishpg/,,,6042292678.0,,6042292678.0,4.0,1407.0,$$ (Moderate),OPERATIONAL,ChIJ301dlrrDSjARwbQbxfFysvk,5.4208929,100.3189139,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1407 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJzWkj,2025-11-05,Starbucks Reserve,"Cafe, Store",1,150000,"S226B, 2nd Floor, The Gardens Mall, Mid Valley City, 58000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",58000 Kuala Lumpur,Kuala Lumpur,58000.0,,,,60322011778.0,,60322011778.0,4.1,1245.0,$$ (Moderate),OPERATIONAL,ChIJzWkjw45JzDERDgk-WuFSmSQ,3.118537700000001,101.6763026,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1245 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJfVNo,2025-11-05,Yin's Sourdough Bakery and Cafe (Penang),"Cafe, Meal Takeaway, Store",1,150000,"11, Pesara Claimant, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://www.yinssourdough.com/,,,601124195118.0,,601124195118.0,4.5,1223.0,$$ (Moderate),OPERATIONAL,ChIJfVNotmDqSjARtuLsqSZglbY,5.416808000000001,100.334885,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1223 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJtzfN,2025-11-05,Coliseum Cafe & Grill Room @Plaza 33,"Cafe, Restaurant",1,150000,"PG-02, Plaza 33, 1, Jalan Kemajuan, Seksyen 13, 46100 Petaling Jaya, Selangor, Malaysia",46100 Petaling Jaya,Selangor,46100.0,http://www.coliseum1921.com/,,,60374907863.0,,60374907863.0,4.3,1848.0,$$ (Moderate),OPERATIONAL,ChIJtzfNguBLzDER1e3zH6OZxXU,3.1095729,101.6383552,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (1848 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJRRQ4,2025-11-05,Cafe Tujoh,Cafe,1,150000,"617, Jalan 17/10, Seksyen 17, 46400 Petaling Jaya, Selangor, Malaysia",46400 Petaling Jaya,Selangor,46400.0,https://www.facebook.com/tujohcafe/,,,60182711157.0,,60182711157.0,4.0,1543.0,$$ (Moderate),OPERATIONAL,ChIJRRQ40VxJzDER8NT0Xso1wl0,3.1221212,101.6355511,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1543 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJh0W7,2025-11-05,Bottega KL,"Cafe, Meal Takeaway, Meal Delivery",1,150000,"1A, Jalan Ceylon, Bukit Ceylon, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50200 Kuala Lumpur,Kuala Lumpur,50200.0,https://linktr.ee/bottegakl,,,60320704222.0,,60320704222.0,4.5,1472.0,$$ (Moderate),OPERATIONAL,ChIJh0W7pNVJzDERoRteIDq-uQs,3.1483219,101.7062636,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1472 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJm6JW,2025-11-05,PULP Cafe Bangsar,Cafe,1,150000,"29-01, Jalan Riong, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,http://www.pulpcoffee.co/,,,60322013650.0,,60322013650.0,4.2,1712.0,$$ (Moderate),OPERATIONAL,ChIJm6JWXJBJzDERQ-oI2YmC6VU,3.1242109,101.674304,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1712 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJqRdD,2025-11-05,Euro Deli,Restaurant,1,150000,"No. 39 & 41, Jalan SS 20/11, Damansara Kim, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,http://www.eurodeli.com.my/,,,60183727019.0,,60183727019.0,4.2,1317.0,$$ (Moderate),OPERATIONAL,ChIJqRdDhzdJzDERZTcW_5SEnI4,3.1345389,101.62702,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1317 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJv1FN,2025-11-05,KFC,"Meal Takeaway, Restaurant",1,150000,"Lot No. UC-2, Avenue K, Shopping Complex, 156, Jln Ampang, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450 Kuala Lumpur,Kuala Lumpur,50450.0,https://kfc.com.my/,,,60321626213.0,,60321626213.0,4.1,1290.0,$$ (Moderate),OPERATIONAL,ChIJv1FNw9A3zDERViTu6omkj80,3.159451599999999,101.7135734,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1290 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJmxWk,2025-11-05,Lisette's Café & Bakery @ Bangsar,"Cafe, Bakery, Store",2,160000,"No. 8, Jalan Kemuja, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59000 Kuala Lumpur,Kuala Lumpur,59000.0,https://www.lisettes.com.my/,,,60322017772.0,,60322017772.0,4.2,2177.0,Unknown,OPERATIONAL,ChIJmxWkt5VJzDERJJUH7Oag9Ig,3.1296548,101.6798452,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (2177 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJL9L8,2025-11-05,Souled Out • Bangsar South,"Meal Delivery, Bar, Meal Takeaway",1,150000,"G11-12, Ground Floor, Nexus, 7, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,https://www.souledoutgroup.com.my/souled-out/bangsar-south,,,60136131663.0,,60136131663.0,4.1,1991.0,$$ (Moderate),OPERATIONAL,ChIJL9L8yitKzDERtIASBAtKG7A,3.1097949,101.6662355,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1991 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJBZNB,2025-11-05,Briyani Asif Bukit Bintang,Restaurant,1,150000,"7 & 9, Jalan Padang, Bukit Bintang, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50470 Kuala Lumpur,Kuala Lumpur,50470.0,https://www.facebook.com/berianisedap,,,60321103220.0,,60321103220.0,4.5,1015.0,$$ (Moderate),OPERATIONAL,ChIJBZNB0S42zDERPByAQEGXUU4,3.145467999999999,101.713188,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1015 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJoQs3,2025-11-05,Ah Heng Food Corner,Restaurant,1,150000,"2, Lorong Tiong Nam 3, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50350 Kuala Lumpur,Kuala Lumpur,50350.0,https://www.facebook.com/AhHengFoodCorner,,,60169569353.0,,60169569353.0,4.3,1078.0,$$ (Moderate),OPERATIONAL,ChIJoQs3KjtIzDERusLaMY8JJpo,3.1638062,101.6951698,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (1078 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJ0UYN,2025-11-05,Fifty Trees,Cafe,1,150000,"53, Jln Beringin, Taman Melodies, 80250 Johor Bahru, Johor Darul Ta'zim, Malaysia",80250 Johor Bahru,Johor,80250.0,http://www.facebook.com/fiftytrees53,,,6073384150.0,,6073384150.0,4.2,1143.0,$$ (Moderate),OPERATIONAL,ChIJ0UYNcDtt2jERwqdx6-al6R8,1.4908432,103.7620473,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1143 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJc1hm,2025-11-05,Capitol Cafe,"Cafe, Store, Restaurant",1,150000,"46, Jln Sultan Ismail, Bukit Bintang, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250.0,https://capitolcafe.com.my/,,,60321105591.0,,60321105591.0,4.1,1898.0,$$ (Moderate),OPERATIONAL,ChIJc1hmkys2zDER3RSwrBzggGs,3.1476893,101.7114599,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1898 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
