Priority,Action,Suggested Approach,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
11,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJdwGk,2025-11-05,Contango,Restaurant,1,300000,"5, Jalan Sultan Hishamuddin, Tasik Perdana, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50000 Kuala Lumpur,Kuala Lumpur,50000.0,,,,60327858000.0,,60327858000.0,4.2,1443.0,$$$ (Expensive),OPERATIONAL,ChIJdwGkrMVJzDERRnnqPQvQkbo,3.1383609,101.6916438,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (1443 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
12,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJCRRm,2025-11-05,Antipodean @ Mid Valley,"Cafe, Restaurant",2,400000,"GE-011(A), Ground Floor, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,http://www.antipodeancoffee.com/,,,60322023411.0,,60322023411.0,4.7,4889.0,$$$ (Expensive),OPERATIONAL,ChIJCRRmv45JzDER2KmXCru4euc,3.1181332,101.6769047,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.7/5 (4889 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
13,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJCxHI,2025-11-05,Secret Recipe Mid Valley Megamall,"Restaurant, Cafe",1,150000,"G-48, Ground Floor, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,http://www.secretrecipe.com.my/,,,60328581374.0,,60328581374.0,4.1,1095.0,$$ (Moderate),OPERATIONAL,ChIJCxHIrI5JzDERdhtaveHE2fs,3.1172685,101.6779186,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1095 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
14,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJHQ_z,2025-11-05,Sarkies,Restaurant,1,300000,"Lobby Level, Victory Annexe, 10, Lebuh Farquhar, George Town, 10450 George Town, Pulau Pinang, Malaysia",10450 George Town,,10450.0,http://www.eohotels.com/,,,6042222151.0,,6042222151.0,4.3,1346.0,$$$ (Expensive),OPERATIONAL,ChIJHQ_zAZrDSjARkCcIVJJIsCk,5.423371700000001,100.334826,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.3/5 (1346 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
15,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJccgT,2025-11-05,dé Market,"Supermarket, Cafe, Liquor Store",2,160000,"1st Floor, Podium Block, Faber Tower, Jalan Desa Bahagia, Taman Desa, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",58100 Kuala Lumpur,Kuala Lumpur,58100.0,https://www.demarket.my/,,,60379727606.0,,60379727606.0,4.2,2368.0,Unknown,OPERATIONAL,ChIJccgT9hdKzDERfFBqXFgpV_o,3.1022504,101.6848532,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (2368 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
16,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJzSpX,2025-11-05,Hello Sushi @ KL GATEWAY,"Meal Takeaway, Restaurant",1,120000,"LG1.K5(II), KL Gateway Mall, No, 2, Jalan Kerinchi, Kampung Kerinchi, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,https://www.foodpanda.my/restaurant/sboh/hello-sushi-kl-gateway,,,60182025140.0,,60182025140.0,5.0,1711.0,Unknown,OPERATIONAL,ChIJzSpX7XVJzDER-wsYC_ff7RM,3.1141124,101.6632718,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 5/5 (1711 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
17,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJvfLY,2025-11-05,Restoran Nasi Kandar Line Clear,Restaurant,5,300000,"161 & 177, Jln Penang, George Town, 10000 George Town, Pulau Pinang, Malaysia",10000 George Town,Penang,10000.0,http://www.penang.ws/dining/5-best-nasi-kandar.htm,,,6042614440.0,,6042614440.0,4.0,5513.0,$$ (Moderate),OPERATIONAL,ChIJvfLYTpfDSjARQVAb64H6Jbk,5.419752399999999,100.3324747,Can't standardize operations across locations,2,,,Google Places API,Rating: 4/5 (5513 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
18,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJlb2x,2025-11-05,Valenza Hotel & Cafe,Lodging,1,120000,"Lot 118 Batu, 3, Jln Klang Lama, Taman Halimahton, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",58100 Kuala Lumpur,Kuala Lumpur,58100.0,https://valenza.com.my/,,,60379726100.0,,60379726100.0,4.0,1155.0,Unknown,OPERATIONAL,ChIJlb2x94lJzDERxGjfKFyHaVg,3.1130918,101.6782207,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1155 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
19,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJmfP5,2025-11-05,Menara UOA Bangsar,Restaurant,1,120000,"5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59000 Kuala Lumpur,Kuala Lumpur,59000.0,,,,60123398386.0,,60123398386.0,4.1,1860.0,Unknown,OPERATIONAL,ChIJmfP5xJZJzDER7SrW6dAW2rQ,3.1277481,101.678206,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1860 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
20,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ4zTe,2025-11-05,Glenmarie Hotel & Golf Resort,"Cafe, Lodging, Restaurant",2,160000,"1, Jalan Usahawan U1/8, Seksyen U1, 40150 Shah Alam, Selangor, Malaysia",40150 Shah Alam,Selangor,40150.0,https://www.glenmarie.com.my/,,,60378025200.0,,60378025200.0,4.2,2355.0,Unknown,OPERATIONAL,ChIJ4zTeIxs4zDEREdquy1F1yg8,3.094567000000001,101.577835,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (2355 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
21,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ6dM0,2025-11-05,Lala Chong Kayu Ara Seafood Restaurant,Restaurant,2,200000,"Lot 13556, Jalan Cempaka, Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,13556.0,https://www.facebook.com/lalachongseafoodrestaurant/,,,60377281906.0,,60377281906.0,4.1,2791.0,$$ (Moderate),CLOSED_TEMPORARILY,ChIJ6dM0E7ROzDERB7-DH7rgs4o,3.1241573,101.6078519,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (2791 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
22,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJZWOh,2025-11-05,Murni Discovery SS2,Restaurant,5,300000,"53, Jalan SS2/75, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",47300 Petaling Jaya,Selangor,47300.0,https://www.murnidiscovery.com/,,,60125299601.0,,60125299601.0,4.0,6150.0,$$ (Moderate),OPERATIONAL,ChIJZWOhd1FJzDER6_Zv4ILg6TI,3.1201929,101.622244,Can't standardize operations across locations,2,,,Google Places API,Rating: 4/5 (6150 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
23,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJH5gy,2025-11-05,Red Garden Food Paradise,"Cafe, Restaurant",2,200000,"20, Lebuh Leith, George Town, 10000 George Town, Pulau Pinang, Malaysia",10000 George Town,,10000.0,http://www.redgarden-food.com/,,,60196651318.0,,60196651318.0,4.0,2903.0,$$ (Moderate),OPERATIONAL,ChIJH5gyc5rDSjARLE79ru4oLmo,5.4209989,100.334436,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4/5 (2903 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
24,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJlT3Z,2025-11-05,Suffolk House Restaurant,Restaurant,1,300000,"C864+845, 250, Jalan Air Itam, 10460 George Town, Pulau Pinang, Malaysia",10460 George Town,,10460.0,http://suffolkhouse.com.my/,,,6042283930.0,,6042283930.0,4.5,1599.0,$$$ (Expensive),OPERATIONAL,ChIJlT3ZVrXDSjARFDdgGR46CAk,5.4108509,100.3054987,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.5/5 (1599 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
25,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJI3Tq,2025-11-05,Dragon-i Peking Duck Restaurant • Sunway Pyramid,Restaurant,2,160000,"GF.43, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",47500 Petaling Jaya,Selangor,47500.0,http://www.dragon-i.com.my/,,,60374923688.0,,60374923688.0,4.6,3147.0,Unknown,OPERATIONAL,ChIJI3TqdIdMzDERZ9OvUah8Mj0,3.0718912,101.6075292,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.6/5 (3147 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
26,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJJV_v,2025-11-05,MATRADE Exhibition | Convention Centre - Hall ABC Lobby,Restaurant,1,120000,"Menara Matrade, Jalan Sultan Haji Ahmad Shah, Segambut, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://www.matrade.gov.my/,,,60362037032.0,,60362037032.0,4.2,1091.0,Unknown,OPERATIONAL,ChIJJV_v9WNIzDERO6TsJB4Dt1Y,3.1773289,101.6668651,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1091 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
27,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJIVqW,2025-11-05,Publika Shopping Gallery,Shopping Mall,5,240000,"1, Jln Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://publika.com.my/,,,60362117877.0,,60362117877.0,4.2,12230.0,Unknown,OPERATIONAL,ChIJIVqWDl5IzDERNCOhnX8t_NU,3.1714242,101.6642001,Can't standardize operations across locations,2,,,Google Places API,Rating: 4.2/5 (12230 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
28,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJX767,2025-11-05,Cor Blimey! British Fish & Chips • Sri Hartamas,"Meal Takeaway, Restaurant",1,120000,"Ground Floor, 58, Jalan 27/70a, Desa Sri Hartamas, 50486 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50486 Kuala Lumpur,Kuala Lumpur,50486.0,http://www.corblimeymy.com/,,,60362112215.0,,60362112215.0,4.7,1965.0,Unknown,OPERATIONAL,ChIJX767D7RJzDERrD6_wqm0O5Q,3.1633144,101.6502629,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.7/5 (1965 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
29,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJeacz,2025-11-05,Yellow Brick Road,"Cafe, Restaurant",2,200000,"Lot A-GF-03, 5th Place @ The Five No.49, Kompleks Pejabat Damansara, Kompleks Pejabat Damansara, Jalan Dungun, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50490 Kuala Lumpur,Kuala Lumpur,50490.0,,,,60192700304.0,,60192700304.0,4.3,3653.0,$$ (Moderate),OPERATIONAL,ChIJeaczdQBJzDER2RFveeZePuY,3.151729,101.6655372,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.3/5 (3653 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
30,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJt0hC,2025-11-05,Bread History (Prangin Mall),"Bakery, Store",1,150000,"33-G-35, Jalan Dr Lim Chwee Leong, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://www.breadhistory.com.my/,,,6043713957.0,,6043713957.0,4.9,1851.0,$$ (Moderate),OPERATIONAL,ChIJt0hCIpTDSjAROpc0G2_vYTc,5.414683,100.331112,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.9/5 (1851 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
31,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJXeQ2,2025-11-05,Nando's @ 1 Mont Kiara,Restaurant,1,150000,"Unit G-13, Ground Floor, 1 Mont Kiara, No.1, Jalan Kiara, Mont Kiara, Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://nandos.com.my/,,,60389662526.0,,60389662526.0,4.9,1733.0,$$ (Moderate),OPERATIONAL,ChIJXeQ2dPFIzDERbjc-y0rMVP8,3.165391,101.652774,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.9/5 (1733 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
32,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJh0qK,2025-11-05,Soi 55 Thai Kitchen - Solaris,Restaurant,1,150000,"16, Jalan Solaris 5, Solaris Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://www.soi55.my/,,,60167370555.0,,60167370555.0,4.5,1456.0,$$ (Moderate),CLOSED_TEMPORARILY,ChIJh0qKJopIzDER0HjOFw6qLLU,3.1761473,101.6593116,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1456 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
33,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJAdaI,2025-11-05,Kraffmen Cafe,Cafe,2,200000,"80, Jalan Zainul Abidin, 10400 George Town, Pulau Pinang, Malaysia",10400 George Town,,10400.0,https://www.facebook.com/share/1aGBoggoa5/,,,60172910728.0,,60172910728.0,4.7,2153.0,$$ (Moderate),OPERATIONAL,ChIJAdaIyL3DSjAR954rvYrTF-A,5.416586699999999,100.3251116,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.7/5 (2153 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
34,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ_zj8,2025-11-05,Black Kettle,Cafe,2,200000,"105, Beach St, Georgetown, 10300 George Town, Penang, Malaysia",10300 George Town,Penang,10300.0,https://www.facebook.com/blackkettlemy,,,6042519270.0,,6042519270.0,4.2,2438.0,$$ (Moderate),OPERATIONAL,ChIJ_zj8C47DSjARAuuGc6p216I,5.4154122,100.339716,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (2438 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
35,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ44t0,2025-11-05,"The Alley, 5 Stewart Lane",Cafe,2,200000,"5, Stewart Ln, Georgetown, 10200 George Town, Penang, Malaysia",10200 George Town,Penang,10200.0,https://www.facebook.com/thealleypenang,,,60173734829.0,,60173734829.0,4.8,2223.0,$$ (Moderate),OPERATIONAL,ChIJ44t014_DSjAR5P0cuMob9sM,5.4185054,100.3384157,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.8/5 (2223 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
36,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ-4_L,2025-11-05,Vantador | The Dry Aged Steak Boutique,"Bar, Restaurant",1,120000,"38, Jalan 25/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://www.vantador.co/,,,60126755868.0,,60126755868.0,4.5,1201.0,Unknown,OPERATIONAL,ChIJ-4_L4u9IzDERbhYC0RjRPdM,3.1624672,101.6497112,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1201 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
37,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJg1nr,2025-11-05,Tea Kadai HQ,Cafe,1,150000,"68, Lebuh Queen, George Town, 10200 George Town, Pulau Pinang, Malaysia",10200 George Town,,10200.0,https://www.instagram.com/teakadaipenang/,,,60124968938.0,,60124968938.0,4.4,1518.0,$$ (Moderate),OPERATIONAL,ChIJg1nr2ZHDSjARiGZDn_NgDno,5.416953100000001,100.3382577,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (1518 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
38,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJsybT,2025-11-05,Ome by Spacebar Coffee,"Cafe, Store",1,150000,"1, Lorong Toh Aka, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://t.me/spacebarcoffee,,,60196908259.0,,60196908259.0,4.6,1112.0,$$ (Moderate),OPERATIONAL,ChIJsybTXJLDSjARPhlORQG_INI,5.413431999999999,100.3368178,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.6/5 (1112 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
39,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJI2z7,2025-11-05,Super Saigon Sri Hartamas KL - Pho Beef Cafe,"Meal Delivery, Cafe, Restaurant",1,150000,"2, Jalan Sri Hartamas 8, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://order.supersaigon.com.my/en_MY/?utm_source=oddle&utm_medium=website&utm_campaign=marche,,,60328569886.0,,60328569886.0,4.4,1378.0,$$ (Moderate),OPERATIONAL,ChIJI2z7WvtIzDER7vB0LOLHzFU,3.157326000000001,101.6507154,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (1378 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
40,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ_VlP,2025-11-05,The Social @ Desa ParkCity,"Restaurant, Liquor Store, Cafe",1,300000,"GF-02, The Waterfront@ParkCity, No.5, Persiaran Residen, Desa Parkcity, 52200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",52200 Kuala Lumpur,Kuala Lumpur,52200.0,https://thesocial.com.my/,,,60362799225.0,,60362799225.0,4.3,1388.0,$$$ (Expensive),OPERATIONAL,ChIJ_VlPDaZIzDERn8cmvkJfeIg,3.1869825,101.6281771,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.3/5 (1388 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
41,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ301d,2025-11-05,PENANG Logan Road Dailyfish Seafood Restaurant,Restaurant,1,150000,"34, Jalan Logan, George Town, 10400 George Town, Pulau Pinang, Malaysia",10400 George Town,,10400.0,https://www.facebook.com/dailyfishpg/,,,6042292678.0,,6042292678.0,4.0,1407.0,$$ (Moderate),OPERATIONAL,ChIJ301dlrrDSjARwbQbxfFysvk,5.4208929,100.3189139,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1407 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
